1,55th,EB,Pulaski,Central Park,W,41.79306719,-87.72316025,41.79314055,-87.71360715,POINT (-87.7231602513 41.7930671862),POINT (-87.7136071496 41.793140551),41.79310387,-87.7183837
2,55th,EB,Central Park,Kedzie,W,41.79314055,-87.71360715,41.7933767,-87.70355542,POINT (-87.7136071496 41.793140551),POINT (-87.7035554211 41.7933767009),41.79325863,-87.70858129
3,55th,EB,Kedzie,California,W,41.7933767,-87.70355542,41.7935536,-87.6937993,POINT (-87.7035554211 41.7933767009),POINT (-87.693799302 41.7935536023),41.79346515,-87.69867736
4,55th,EB,California,Western,W,41.7935536,-87.6937993,41.79373938,-87.68404316,POINT (-87.693799302 41.7935536023),POINT (-87.6840431555 41.7937393759),41.79364649,-87.68892123
5,Garfield,EB,Western,Damen,W,41.79373938,-87.68404316,41.79377911,-87.67430197,POINT (-87.6840431555 41.7937393759),POINT (-87.6743019717 41.7937791103),41.79375925,-87.67917257
6,Garfield,EB,Damen,Ashland,W,41.79377911,-87.67430197,41.79388716,-87.66458324,POINT (-87.6743019717 41.7937791103),POINT (-87.6645832406 41.7938871572),41.79383314,-87.66944261
7,Garfield,EB,Ashland,Racine,W,41.79388716,-87.66458324,41.79403467,-87.6548757,POINT (-87.6645832406 41.7938871572),POINT (-87.6548756951 41.7940346735),41.79396092,-87.65972947
8,Garfield,EB,Racine,Halsted,W,41.79403467,-87.6548757,41.79416465,-87.64516183,POINT (-87.6548756951 41.7940346735),POINT (-87.6451618298 41.7941646462),41.79409966,-87.65001877
9,Garfield,EB,Halsted,Dan Ryan Expy,W,41.79416465,-87.64516183,41.79439745,-87.63112831,POINT (-87.6451618298 41.7941646462),POINT (-87.6311283131 41.7943974487),41.79428105,-87.63814507
10,Garfield,EB,Dan Ryan Expy,State,W,41.79439745,-87.63112831,41.79450598,-87.62570256,POINT (-87.6311283131 41.7943974487),POINT (-87.625702556 41.7945059819),41.79445172,-87.62841544
11,Garfield,EB,State,Dr Martin L King Jr,E,41.79450598,-87.62570256,41.79466361,-87.6159826,POINT (-87.625702556 41.7945059819),POINT (-87.6159826042 41.7946636061),41.7945848,-87.62084258
12,Archer,WB,Oak Park,Harlem,W,41.79229339,-87.79157479,41.79208407,-87.80154814,POINT (-87.7915747868 41.7922933877),POINT (-87.801548143 41.7920840659),41.79218873,-87.79656147
13,Archer,WB,Narragansett,Oak Park,W,41.79248619,-87.78180443,41.79229339,-87.79157479,POINT (-87.7818044315 41.7924861906),POINT (-87.7915747868 41.7922933877),41.79238979,-87.78668961
14,55th,WB,Austin,Mobile,W,41.7926797,-87.77206503,41.79248619,-87.77935,POINT (-87.772065026 41.7926796968),POINT (-87.77935 41.7924861906),41.79258295,-87.77570752
15,55th,WB,Central,Austin,W,41.7928797,-87.76223503,41.7926797,-87.77206503,POINT (-87.76223503 41.7928797),POINT (-87.77206503 41.7926797),41.7927797,-87.76715003
16,55th,WB,Laramie,Central,W,41.79302504,-87.75250618,41.7928797,-87.76223503,POINT (-87.75250618 41.79302504),POINT (-87.76223503 41.7928797),41.79295237,-87.75737061
17,55th,WB,Cicero,Laramie,W,41.79316818,-87.74198347,41.79302504,-87.75250618,POINT (-87.7419834738 41.7931681777),POINT (-87.7525061843 41.7930250391),41.79309661,-87.74724483
19,Pulaski,NB,111th,107th,S,41.69126764,-87.7201006,41.69856112,-87.72051384,POINT (-87.7201006039 41.6912676378),POINT (-87.7205138378 41.6985611194),41.69491438,-87.72030722
20,Pulaski,NB,107th,103rd,S,41.69856112,-87.72044462,41.70590189,-87.72079437,POINT (-87.7204446212 41.6985611194),POINT (-87.7207943736 41.7059018917),41.70223151,-87.7206195
21,Pulaski,NB,103rd,99th,S,41.70590189,-87.72072472,41.71317086,-87.72101087,POINT (-87.7207247188 41.7059018917),POINT (-87.7210108659 41.7131708566),41.70953638,-87.7208678
22,Pulaski,NB,99th,95th,S,41.71317086,-87.7209419,41.72053512,-87.72122811,POINT (-87.720941896 41.7131708566),POINT (-87.7212281119 41.7205351179),41.71685299,-87.72108501
23,Pulaski,NB,95th,91st,S,41.72053512,-87.72115824,41.72792404,-87.7216035,POINT (-87.7211582444 41.7205351179),POINT (-87.7216034956 41.7279240361),41.72422958,-87.72138087
24,Pulaski,NB,91st,87th,S,41.72792404,-87.72153343,41.73485665,-87.72131078,POINT (-87.7215334269 41.7279240361),POINT (-87.7213107758 41.7348566529),41.73139035,-87.72142211
25,Pulaski,NB,87th,83rd,S,41.73485665,-87.72124495,41.74217806,-87.72156546,POINT (-87.7212449539 41.7348566529),POINT (-87.7215654587 41.742178062),41.73851736,-87.72140521
26,Pulaski,NB,83rd,79th,S,41.74217806,-87.72149598,41.74956953,-87.72180129,POINT (-87.7214959848 41.742178062),POINT (-87.721801291 41.7495695299),41.7458738,-87.72164864
27,Pulaski,NB,79th,71st,S,41.74956953,-87.72173116,41.76409928,-87.7223094,POINT (-87.7217311602 41.7495695299),POINT (-87.7223094048 41.7640992823),41.75683441,-87.72202028
28,Pulaski,NB,71st,67th,S,41.76409928,-87.7221716,41.77137298,-87.72246177,POINT (-87.7221715979 41.7640992823),POINT (-87.7224617677 41.7713729793),41.76773613,-87.72231669
29,Pulaski,NB,67th,63rd,S,41.77137298,-87.72239278,41.77865726,-87.72264588,POINT (-87.7223927753 41.7713729793),POINT (-87.722645881 41.7786572624),41.77501512,-87.72251933
30,Pulaski,NB,63rd,59th,S,41.77865726,-87.72257679,41.7859356,-87.72284717,POINT (-87.7225767893 41.7786572624),POINT (-87.7228471654 41.7859356046),41.78229643,-87.72271198
